id,employmentStatus,currentEmployer,positionTitle,grossAnnualIncome,unemploymentPeriod,receivesFinancialAssistance,assistanceExplanation,receivesSocialSecurity,numberOfPeopleInHousehold
267,1,Shuffletag,GIS Technical Architect,11787,NULL,1,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,0,7
268,0,NULL,NULL,NULL,More than 1 year,1,risus auctor sed tristique in tempus sit amet sem fusce consequat,0,5
269,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,9
270,1,Oloo,Automation Specialist III,38277,NULL,1,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,1,10
271,0,NULL,NULL,NULL,More than 1 year,1,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,0,2
272,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,1
273,1,Dabvine,Social Worker,39070,NULL,0,NULL,1,1
274,1,Feednation,Compensation Analyst,41559,NULL,1,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,1,9
275,1,Jabberbean,Mechanical Systems Engineer,79859,NULL,0,NULL,0,1
276,1,Youbridge,Accountant I,07892,NULL,1,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,1,3
277,1,Flashdog,Business Systems Development Analyst,21028,NULL,1,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,0,3
278,1,Skyvu,Chemical Engineer,21309,NULL,1,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,1,1
279,1,Brainbox,Budget/Accounting Analyst III,47001,NULL,0,NULL,1,3
280,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,7
281,1,Riffpedia,Associate Professor,19476,NULL,0,NULL,1,3
282,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,3
283,1,Oba,Safety Technician II,03555,NULL,1,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,1,3
284,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,7
285,1,Chatterpoint,Accounting Assistant II,12445,NULL,1,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,1,1
286,1,Photobug,Nurse Practicioner,87670,NULL,1,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,1,5
287,1,Blogspan,Cost Accountant,88399,NULL,0,NULL,0,9
288,1,Skilith,Account Representative IV,24213,NULL,0,NULL,0,8
289,1,Ooba,Executive Secretary,11981,NULL,0,NULL,1,6
290,0,NULL,NULL,NULL,More than 1 year,1,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,1,10
291,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,8
292,1,InnoZ,Office Assistant I,16076,NULL,0,NULL,1,10
293,1,Leenti,Research Associate,10512,NULL,1,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,0,1
294,1,Youfeed,Compensation Analyst,37859,NULL,0,NULL,0,6
295,0,NULL,NULL,NULL,More than 6 months,1,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,0,9
296,0,NULL,NULL,NULL,Less than 6 months,1,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,1,10
297,1,Dynazzy,Marketing Assistant,61985,NULL,0,NULL,1,10
298,0,NULL,NULL,NULL,More than 1 year,1,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,1,9
299,1,Brainsphere,Data Coordiator,89344,NULL,0,NULL,1,4
300,0,NULL,NULL,NULL,Less than 6 months,1,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,1,9
301,0,NULL,NULL,NULL,More than 6 months,1,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,1,7
302,1,Topicblab,Help Desk Technician,84096,NULL,0,NULL,0,3
303,1,Flashpoint,Geological Engineer,98019,NULL,0,NULL,0,8
304,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,5
305,1,Npath,General Manager,16690,NULL,0,NULL,1,3
306,1,Fiveclub,Information Systems Manager,51419,NULL,0,NULL,1,9
307,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,1
308,0,NULL,NULL,NULL,Less than 6 months,1,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,1,9
309,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,9
310,1,Browsedrive,Financial Analyst,41697,NULL,0,NULL,1,10
311,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,9
312,0,NULL,NULL,NULL,More than 1 year,1,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,0,2
313,1,Tambee,Assistant Manager,62727,NULL,0,NULL,1,1
314,1,Voomm,Assistant Professor,16767,NULL,0,NULL,0,7
315,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,10
316,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,2
317,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
318,1,Cogilith,Administrative Assistant IV,29848,NULL,1,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,1,5
319,1,Eazzy,Senior Financial Analyst,27893,NULL,0,NULL,0,4
320,1,Babbleset,Recruiter,09128,NULL,1,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,1,3
321,1,Zoombeat,Teacher,75667,NULL,1,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,0,4
322,0,NULL,NULL,NULL,Less than 6 months,1,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,0,3
323,0,NULL,NULL,NULL,Less than 6 months,1,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,1,8
324,1,Trudoo,Accounting Assistant II,04156,NULL,1,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,1,10
325,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,1
326,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,8
327,0,NULL,NULL,NULL,Less than 6 months,1,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,0,5
328,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,5
329,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,8
330,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,3
331,0,NULL,NULL,NULL,Less than 6 months,1,eu sapien cursus vestibulum proin eu mi nulla ac enim in,0,1
332,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,4
333,1,Quinu,Desktop Support Technician,34751,NULL,0,NULL,0,10
334,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,4
335,1,Photospace,Technical Writer,96486,NULL,1,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,1,9
336,1,Snaptags,Structural Analysis Engineer,78336,NULL,0,NULL,0,4
337,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,7
338,0,NULL,NULL,NULL,More than 1 year,1,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,1,2
339,0,NULL,NULL,NULL,More than 6 months,1,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,0,5
340,0,NULL,NULL,NULL,More than 1 year,1,orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,1,4
341,1,Jatri,Account Coordinator,70476,NULL,0,NULL,1,2
342,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,1
343,0,NULL,NULL,NULL,More than 1 year,1,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,1,6
344,1,Quinu,Web Designer I,30146,NULL,0,NULL,0,5
345,0,NULL,NULL,NULL,More than 1 year,1,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,1,3
346,1,Mydeo,Quality Engineer,01252,NULL,1,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,0,1
347,1,Oozz,Web Designer II,67060,NULL,1,erat eros viverra eget congue eget semper rutrum nulla nunc,0,9
348,1,Rhynyx,Chemical Engineer,31222,NULL,0,NULL,1,10
349,1,Blogtag,Accounting Assistant I,26960,NULL,1,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,1,6
350,0,NULL,NULL,NULL,More than 1 year,1,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,0,3
351,1,Kwimbee,Staff Scientist,03768,NULL,1,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,0,1
352,1,Tanoodle,Senior Quality Engineer,78474,NULL,1,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,0,6
353,1,Skyble,Assistant Manager,70422,NULL,1,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,0,3
354,1,Realbridge,Account Executive,59487,NULL,0,NULL,0,10
355,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,4
356,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,10
357,1,Feedspan,Nuclear Power Engineer,52379,NULL,0,NULL,1,9
358,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,9
359,1,Zoomdog,Assistant Media Planner,83818,NULL,0,NULL,0,1
360,1,Skiptube,Director of Sales,13646,NULL,1,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,0,10
361,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,4
362,1,Eazzy,Nurse Practicioner,66694,NULL,0,NULL,1,4
363,1,JumpXS,Database Administrator III,00386,NULL,1,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,0,9
364,1,Voonte,Actuary,81111,NULL,1,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,0,8
365,1,Zoomlounge,Social Worker,48695,NULL,0,NULL,0,2
366,0,NULL,NULL,NULL,More than 1 year,1,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,0,9
367,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,10
368,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,3
369,0,NULL,NULL,NULL,Less than 6 months,1,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,1,10
370,1,Trunyx,Physical Therapy Assistant,89705,NULL,1,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,0,3
371,1,Meevee,Web Developer I,29807,NULL,0,NULL,0,8
372,0,NULL,NULL,NULL,Less than 6 months,1,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,0,5
373,0,NULL,NULL,NULL,More than 1 year,1,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,0,10
374,1,Browsebug,Senior Financial Analyst,52740,NULL,0,NULL,0,9
375,0,NULL,NULL,NULL,More than 1 year,1,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1,5
376,1,Wikibox,Software Engineer III,39859,NULL,1,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,1,8
377,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
378,0,NULL,NULL,NULL,More than 6 months,1,aliquam convallis nunc proin at turpis a pede posuere nonummy,1,7
379,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,1
380,1,Wordpedia,Software Consultant,45866,NULL,1,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,0,7
381,0,NULL,NULL,NULL,More than 1 year,1,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,0,8
382,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,6
383,1,Demimbu,Developer I,40855,NULL,0,NULL,1,5
384,1,Jaxnation,Automation Specialist III,17769,NULL,1,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus,0,7
385,0,NULL,NULL,NULL,More than 6 months,1,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,0,10
386,1,Wordtune,Civil Engineer,06690,NULL,0,NULL,0,9
387,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,6
388,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,9
389,1,Omba,VP Sales,26523,NULL,1,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,1,1
390,1,Dynava,Tax Accountant,53150,NULL,0,NULL,1,2
391,0,NULL,NULL,NULL,More than 6 months,1,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,0,6
392,0,NULL,NULL,NULL,More than 1 year,1,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,1,7
393,1,Meevee,VP Accounting,44781,NULL,1,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,1,6
394,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,7
395,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,1
396,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,8
397,0,NULL,NULL,NULL,More than 6 months,1,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,0,7
398,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,1
399,0,NULL,NULL,NULL,Less than 6 months,1,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,1,1
400,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,9
401,0,NULL,NULL,NULL,Less than 6 months,1,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,1,3
402,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,6
403,1,Myworks,Assistant Media Planner,44898,NULL,1,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,0,9
404,1,Jabbersphere,Financial Analyst,20272,NULL,1,convallis nunc proin at turpis a pede posuere nonummy integer non,1,7
405,1,Skinder,Tax Accountant,81406,NULL,1,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,1,2
406,1,Rhyzio,Research Assistant II,05224,NULL,1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,3
407,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,1
408,0,NULL,NULL,NULL,Less than 6 months,1,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,0,6
409,0,NULL,NULL,NULL,More than 1 year,1,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,0,9
410,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,2
411,1,Thoughtbeat,Compensation Analyst,05242,NULL,1,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,1,8
412,0,NULL,NULL,NULL,More than 1 year,1,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,0,1
413,1,Eadel,Compensation Analyst,62179,NULL,1,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,1,5
414,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,1
415,0,NULL,NULL,NULL,More than 6 months,1,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,0,9
416,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,8
417,0,NULL,NULL,NULL,More than 6 months,1,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,0,4
418,1,Yodo,Electrical Engineer,96628,NULL,1,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,0,5
419,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,8
420,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,4
421,0,NULL,NULL,NULL,Less than 6 months,1,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,0,1
422,1,Realpoint,Safety Technician I,40841,NULL,1,eros viverra eget congue eget semper rutrum nulla nunc purus,1,2
423,1,Thoughtstorm,VP Product Management,65946,NULL,0,NULL,0,5
424,0,NULL,NULL,NULL,More than 1 year,1,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,1,1
425,0,NULL,NULL,NULL,More than 1 year,1,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,1,5
426,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,7
427,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,2
428,1,Thoughtblab,Paralegal,80944,NULL,1,lacinia sapien quis libero nullam sit amet turpis elementum ligula,1,5
429,1,Fanoodle,Recruiting Manager,01256,NULL,0,NULL,0,1
430,1,Feednation,Software Consultant,33850,NULL,1,magna ac consequat metus sapien ut nunc vestibulum ante ipsum,1,3
431,1,Wordify,Staff Scientist,99644,NULL,1,nibh fusce lacus purus aliquet at feugiat non pretium quis,1,5
432,0,NULL,NULL,NULL,More than 6 months,1,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,0,7
433,0,NULL,NULL,NULL,More than 1 year,1,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,0,2
434,0,NULL,NULL,NULL,More than 1 year,1,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,1,4
435,1,Kare,Statistician II,52557,NULL,1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,1,4
436,1,Zoomlounge,Director of Sales,89780,NULL,0,NULL,1,2
437,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,9
438,0,NULL,NULL,NULL,Less than 6 months,1,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,1,9
439,0,NULL,NULL,NULL,More than 1 year,1,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,0,4
440,1,Devshare,Statistician IV,92182,NULL,1,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,0,8
441,1,Gabspot,Senior Financial Analyst,56205,NULL,1,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,1,3
442,1,Eamia,Clinical Specialist,01484,NULL,1,lectus suspendisse potenti in eleifend quam a odio in hac habitasse,1,5
443,0,NULL,NULL,NULL,More than 6 months,1,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,1,10
444,1,Bubblemix,Health Coach III,48800,NULL,0,NULL,1,1
445,0,NULL,NULL,NULL,More than 1 year,1,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,1,9
446,1,Centidel,Project Manager,85731,NULL,0,NULL,1,1
447,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,9
448,0,NULL,NULL,NULL,More than 6 months,1,justo eu massa donec dapibus duis at velit eu est congue,1,7
449,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,9
450,1,Vidoo,Editor,17777,NULL,1,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,1,10
451,1,Yodoo,Quality Engineer,96201,NULL,0,NULL,0,6
452,0,NULL,NULL,NULL,More than 1 year,1,fusce consequat nulla nisl nunc nisl duis bibendum felis sed,1,8
453,1,Blogtags,Technical Writer,75954,NULL,0,NULL,1,5
454,0,NULL,NULL,NULL,More than 1 year,1,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,0,8
455,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,3
456,1,DabZ,Biostatistician IV,63284,NULL,0,NULL,0,3
457,0,NULL,NULL,NULL,Less than 6 months,1,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,1,3
458,1,Voomm,Product Engineer,59008,NULL,1,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,0,7
459,1,Tagchat,Staff Scientist,17729,NULL,1,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,1,9
460,0,NULL,NULL,NULL,More than 1 year,1,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,1,9
461,1,Jabbercube,Staff Scientist,18678,NULL,0,NULL,1,6
462,1,Jayo,Chemical Engineer,33231,NULL,0,NULL,0,8
463,1,Lazz,Operator,36834,NULL,1,id consequat in consequat ut nulla sed accumsan felis ut at dolor,1,8
464,1,Mudo,Administrative Officer,64918,NULL,1,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,1,9
465,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,10
466,1,Skinte,Web Developer IV,85161,NULL,1,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,0,3
467,1,Eabox,General Manager,24331,NULL,0,NULL,0,2
468,1,Oba,Administrative Assistant III,81131,NULL,0,NULL,1,3
469,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,1
470,0,NULL,NULL,NULL,More than 6 months,1,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,0,1
471,1,Yamia,Research Assistant II,38514,NULL,1,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,0,1
472,1,Bluejam,Assistant Manager,99487,NULL,0,NULL,0,4
473,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,2
474,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,9
475,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,2
476,1,Yodo,Chemical Engineer,75425,NULL,0,NULL,0,7
477,1,Rhycero,Director of Sales,35241,NULL,0,NULL,1,5
478,0,NULL,NULL,NULL,More than 6 months,1,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,0,7
479,0,NULL,NULL,NULL,More than 6 months,1,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,0,10
480,0,NULL,NULL,NULL,Less than 6 months,1,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,0,3
481,1,Jabbersphere,Technical Writer,77703,NULL,1,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,0,5
482,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,4
483,0,NULL,NULL,NULL,More than 1 year,1,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue,0,3
484,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,7
485,1,BlogXS,Junior Executive,79247,NULL,1,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,0,5
486,1,Blogspan,Senior Sales Associate,53928,NULL,0,NULL,0,1
487,1,Cogilith,Dental Hygienist,36689,NULL,1,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,1,9
488,1,Photobean,Systems Administrator III,15356,NULL,1,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,1,4
489,1,Browsetype,Tax Accountant,22961,NULL,0,NULL,1,1
490,1,Jaxbean,Research Nurse,94359,NULL,1,posuere cubilia curae nulla dapibus dolor vel est donec odio,1,5
491,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,4
492,1,Ooba,Accounting Assistant IV,32130,NULL,1,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,1,3
493,1,Trilith,Payment Adjustment Coordinator,74368,NULL,1,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,1,7
494,1,Devbug,Pharmacist,03560,NULL,0,NULL,1,9
495,1,Buzzbean,VP Marketing,65678,NULL,0,NULL,1,2
496,1,Flashdog,Editor,88140,NULL,1,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,1,10
497,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,5
498,1,Buzzshare,Librarian,01696,NULL,1,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,0,3
499,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
500,1,Jabbersphere,Design Engineer,37937,NULL,1,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,0,3
501,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,4
502,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,7
503,1,Blognation,Engineer II,87162,NULL,0,NULL,1,4
504,0,NULL,NULL,NULL,More than 1 year,1,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,1,7
505,0,NULL,NULL,NULL,More than 1 year,1,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique,1,7
506,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
507,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,5
508,1,Roodel,Media Manager II,03041,NULL,1,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,1,7
509,1,Babblestorm,Budget/Accounting Analyst IV,94553,NULL,0,NULL,1,5
510,0,NULL,NULL,NULL,More than 6 months,1,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,0,5
511,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,7
512,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,5
513,1,Agimba,Compensation Analyst,35792,NULL,0,NULL,1,3
514,1,Buzzster,VP Accounting,13067,NULL,0,NULL,1,9
515,0,NULL,NULL,NULL,Less than 6 months,1,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,1,3
516,1,Zava,Sales Representative,36926,NULL,0,NULL,1,2
517,1,Voolith,VP Quality Control,28604,NULL,0,NULL,0,4
518,0,NULL,NULL,NULL,Less than 6 months,1,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,0,9
519,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,2
520,1,Kwinu,Actuary,17838,NULL,1,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,1,7
521,0,NULL,NULL,NULL,Less than 6 months,1,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,1,5
522,0,NULL,NULL,NULL,Less than 6 months,1,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,0,8
523,1,JumpXS,Recruiter,09814,NULL,0,NULL,1,10
524,1,Wikivu,Nurse,84675,NULL,0,NULL,0,3
525,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,9
526,1,Eazzy,Programmer Analyst IV,01516,NULL,0,NULL,1,9
527,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
528,1,Yakidoo,Senior Cost Accountant,16892,NULL,0,NULL,0,7
529,1,Voonder,Graphic Designer,61793,NULL,1,consequat morbi a ipsum integer a nibh in quis justo maecenas,1,7
